userid,probability
55597,0.115538966629
55598,0.113485919869
55599,0.121759806247
55600,0.113325838446
55601,0.113271166898
55602,0.237341650011
55603,0.11335458471
55604,0.113223756816
55605,0.113245819863
55606,0.136782771736
55607,0.113460906466
55608,0.113226949132
55609,0.113234447397
55610,0.113617372442
55611,0.123749960059
55612,0.115085050236
55613,0.113207453384
55614,0.11329763542
55615,0.113602734235
55616,0.113228752471
55617,0.113343310209
55618,0.113527497207
55619,0.113178497896
55620,0.113370288264
55621,0.115210532059
55622,0.113207037314
55623,0.113714577603
55624,0.113197318222
55625,0.113431236292
55626,0.113151203946
55627,0.113310845279
55628,0.113486517557
55629,0.113138279701
55630,0.113209662017
55631,0.113220860281
55632,0.127737179192
55633,0.113242646872
55634,0.113224104313
55635,0.113266514274
55636,0.113383704217
55637,0.1131491193
55638,0.113245776898
55639,0.113310103949
55640,0.113232810784
55641,0.208706661729
55642,0.113274432621
55643,0.113298527189
55644,0.113232436147
55645,0.113209620936
55646,0.113195317691
55647,0.11341329487
55648,0.113335836196
55649,0.113246360947
55650,0.132240498192
55651,0.113159475307
55652,0.11337432847
55653,0.113203711392
55654,0.113371368666
55655,0.113609592295
55656,0.113562747336
55657,0.113264457902
55658,0.11323289708
55659,0.113231343918
55660,0.113282514551
55661,0.113314005262
55662,0.113294976042
55663,0.113625361203
55664,0.113155597315
55665,0.113125363095
55666,0.113202124181
55667,0.113700431271
55668,0.113212042348
55669,0.113315269944
55670,0.113387614048
55671,0.113245504043
55672,0.113223068014
55673,0.113203933431
55674,0.113659633839
55675,0.113217379239
55676,0.113255949014
55677,0.113215312383
55678,0.113220612938
55679,0.113242549083
55680,0.113392814986
55681,0.113527381325
55682,0.113209106935
55683,0.113151202664
55684,0.113205269791
55685,0.113333970699
55686,0.113224761284
55687,0.113216334963
55688,0.113214279027
55689,0.113199515726
55690,0.113406446667
55691,0.113314766092
55692,0.113216344671
55693,0.113281280424
55694,0.113185321886
55695,0.113587664149
55696,0.113516557202
55697,0.113314277761
55698,0.113184287338
55699,0.113527433729
55700,0.113370841271
55701,0.113218414949
55702,0.113472045833
55703,0.113321967239
55704,0.113255405774
55705,0.11339826198
55706,0.113379110698
55707,0.11340620963
55708,0.113210697709
55709,0.205691937942
55710,0.113343528234
55711,0.113323609586
55712,0.113325863118
55713,0.113268587075
55714,0.113477750615
55715,0.113297042996
55716,0.113138798223
55717,0.113285438144
55718,0.113424207939
55719,0.113301878572
55720,0.113212420949
55721,0.113171104403
55722,0.113552658598
55723,0.113239598723
55724,0.11333729967
55725,0.11320423176
55726,0.113182207944
55727,0.159935570421
55728,0.113343003571
55729,0.113205420873
55730,0.113173046119
55731,0.113255925595
55732,0.113236978009
55733,0.113212899053
55734,0.113295120166
55735,0.113747391932
55736,0.113880746335
55737,0.114183515528
55738,0.11320600431
55739,0.113322745388
55740,0.11326210159
55741,0.113216343407
55742,0.113163296418
55743,0.113353798868
55744,0.113215500889
55745,0.12116179665
55746,0.113571721615
55747,0.113453845643
55748,0.113591637976
55749,0.113222552731
55750,0.113302820215
55751,0.113282113409
55752,0.113208070512
55753,0.113541459564
55754,0.11330963726
55755,0.113247953417
55756,0.113544780856
55757,0.11321531171
55758,0.113226419479
55759,0.113213066438
55760,0.113180151043
55761,0.124639601636
55762,0.113172915623
55763,0.113384179608
55764,0.113203465527
55765,0.113772211084
55766,0.113182008958
55767,0.113190860035
55768,0.113207363947
55769,0.113294571973
55770,0.113234344418
55771,0.113369033567
55772,0.113218414524
55773,0.113350943969
55774,0.154129270043
55775,0.113214279086
55776,0.126564425056
55777,0.11322340786
55778,0.113771898581
55779,0.11328514471
55780,0.113557624912
55781,0.113552142145
55782,0.113452286065
55783,0.113515609443
55784,0.113275195936
55785,0.113208689002
55786,0.113542460403
55787,0.11340376655
55788,0.113141900385
55789,0.113365091901
55790,0.113252008119
55791,0.113206261832
55792,0.113320850783
55793,0.113209103393
55794,0.113206980813
55795,0.113174455058
55796,0.113212107443
55797,0.113256173213
55798,0.113166710886
55799,0.113142399226
55800,0.11321225251
55801,0.113568841503
55802,0.113179117487
55803,0.113334684511
55804,0.1131850648
55805,0.205691939105
55806,0.113645449477
55807,0.113210831249
55808,0.113231861712
55809,0.113179117653
55810,0.113258759436
55811,0.113155597033
55812,0.113456795318
55813,0.113293865775
55814,0.113326518162
55815,0.113237034226
55816,0.113280832891
55817,0.113278935838
55818,0.11323002315
55819,0.113338290543
55820,0.113293682428
55821,0.113753323136
55822,0.113320285516
55823,0.113533850029
55824,0.113167312232
55825,0.113328847126
55826,0.113481745575
55827,0.11349578909
55828,0.113223143494
55829,0.11324136461
55830,0.113344546954
55831,0.113288249095
55832,0.113450032279
55833,0.113206000889
55834,0.113243693121
55835,0.113325506769
55836,0.113286607147
55837,0.11354471091
55838,0.113208062264
55839,0.113326854124
55840,0.113346693799
55841,0.113364650557
55842,0.11337628693
55843,0.113593434249
55844,0.113121225935
55845,0.113338628279
55846,0.113192162856
55847,0.113226479817
55848,0.113196696479
55849,0.113228758117
55850,0.113197990705
55851,0.113234413057
55852,0.113174096239
55853,0.113247032728
55854,0.113238069109
55855,0.113143768061
55856,0.113478688701
55857,0.113457624446
55858,0.113587814034
55859,0.113633298328
55860,0.113257463894
55861,0.113252306385
55862,0.113201763069
55863,0.113169810884
55864,0.113174979231
55865,0.113425712439
55866,0.113931610958
55867,0.113157664716
55868,0.113856334093
55869,0.113152583301
55870,0.113238914649
55871,0.113396583347
55872,0.113283427622
55873,0.113300840255
55874,0.113464335489
55875,0.113221174016
55876,0.113148103819
55877,0.113119160431
55878,0.113222472743
55879,0.113513470402
55880,0.113380900672
55881,0.113152237531
55882,0.113211176083
55883,0.113321010281
55884,0.113194629715
55885,0.113166711252
55886,0.113216347702
55887,0.113313453218
55888,0.113269621512
55889,0.113313309237
55890,0.113208073467
55891,0.113247494135
55892,0.113500163021
55893,0.113244118271
55894,0.113504175845
55895,0.113288076411
55896,0.113136732841
55897,0.113549371245
55898,0.113427199597
55899,0.113152755671
55900,0.113661008107
55901,0.113161715018
55902,0.113168778959
55903,0.113284149075
55904,0.113239705896
55905,0.113238950774
55906,0.1133299836
55907,0.113335573334
55908,0.113355260745
55909,0.113275972966
55910,0.113158095647
55911,0.113334541757
55912,0.113220771103
55913,0.113270299571
55914,0.11338394507
55915,0.113171141788
55916,0.113148103442
55917,0.11357783275
55918,0.13412587053
55919,0.113246697024
55920,0.134404171116
55921,0.113294698135
55922,0.113514456912
55923,0.113250193937
55924,0.113351585174
55925,0.113506563668
55926,0.113258983933
55927,0.113269968446
55928,0.113347766498
55929,0.113410068559
55930,0.113814137699
55931,0.113206542121
55932,0.11316670889
55933,0.113220484849
55934,0.113172657143
55935,0.113262063333
55936,0.11315223879
55937,0.113234446707
55938,0.113679045709
55939,0.113296528396
55940,0.11323255228
55941,0.113364902129
55942,0.113162872179
55943,0.113356738399
55944,0.11320734631
55945,0.113323982924
55946,0.113236886978
55947,0.113206495649
55948,0.113207482832
55949,0.113175567205
55950,0.113228759538
55951,0.113364902129
55952,0.113135696293
55953,0.113206271326
55954,0.113151683864
55955,0.138996668581
55956,0.113206601506
55957,0.113521706359
55958,0.113230828292
55959,0.113200834576
55960,0.113214508793
55961,0.113221262944
55962,0.154173614385
55963,0.113478458893
55964,0.119946059887
55965,0.12491713741
55966,0.153889994198
55967,0.122249315333
55968,0.133210892891
55969,0.153735328588
55970,0.138921487682
55971,0.127968414056
55972,0.138774253499
55973,0.113422747351
55974,0.154241715339
55975,0.11324057223
55976,0.114768987236
55977,0.113686726199
55978,0.113194714057
55979,0.12072454547
55980,0.119833099653
55981,0.115066825921
55982,0.113228392698
55983,0.113342180271
55984,0.208662962929
55985,0.113414166991
55986,0.146821265468
55987,0.199702392827
55988,0.11343663295
55989,0.11315336169
55990,0.113347425893
55991,0.113360669729
55992,0.116794520127
55993,0.11319437179
55994,0.177614522125
55995,0.183633076176
55996,0.113265776781
55997,0.113320936362
55998,0.113261008062
55999,0.154052271479
56000,0.113227807816
56001,0.11317300828
56002,0.113241954665
56003,0.205688722593
56004,0.113132084374
56005,0.113130622481
56006,0.113441957385
56007,0.11838792649
56008,0.132338737721
56009,0.172491256838
56010,0.113148196519
56011,0.113141452613
56012,0.113255708271
56013,0.121388481468
56014,0.113512381455
56015,0.113366564964
56016,0.11321830226
56017,0.133148467254
56018,0.121446715903
56019,0.113465650147
56020,0.113529699642
56021,0.205688717773
56022,0.11531168079
56023,0.132254644466
56024,0.113128549337
56025,0.113152845541
56026,0.113216707904
56027,0.11350341667
56028,0.128758195753
56029,0.113246437492
56030,0.205688721544
56031,0.205688723692
56032,0.113247677279
56033,0.113521976804
56034,0.113218424083
56035,0.113317417597
56036,0.113184925483
56037,0.113328296724
56038,0.236160838725
56039,0.113201811834
56040,0.113365800574
56041,0.171899848294
56042,0.113406884203
56043,0.113364131487
56044,0.113335890907
56045,0.117381186317
56046,0.120377692901
56047,0.113355955167
56048,0.116568420388
56049,0.11316783606
56050,0.113176623679
56051,0.120607522203
56052,0.113440772418
56053,0.113296060664
56054,0.205688721248
56055,0.113165770316
56056,0.113222794131
56057,0.113475572801
56058,0.120610123791
56059,0.115014631569
56060,0.113377117353
56061,0.113193684283
56062,0.113397579872
56063,0.113156463964
56064,0.115249492839
56065,0.113211428284
56066,0.113320004675
56067,0.113271782897
56068,0.113603263291
56069,0.113258319087
56070,0.113453061061
56071,0.141834179135
56072,0.113793935032
56073,0.11341828016
56074,0.113201996256
56075,0.205688722278
56076,0.113176068513
56077,0.113235419952
56078,0.113329915938
56079,0.120611998112
56080,0.113217665636
56081,0.113484409905
56082,0.141760736388
56083,0.208643629503
56084,0.136747217371
56085,0.180719725598
56086,0.113279650915
56087,0.11613764602
56088,0.132918198927
56089,0.115365054975
56090,0.11804818736
56091,0.113571748129
56092,0.115084931605
56093,0.116956871828
56094,0.113326696289
56095,0.233737265128
56096,0.113284375469
56097,0.113206586711
56098,0.113203778735
56099,0.208712331636
56100,0.121314574267
56101,0.113300490883
56102,0.113171969465
56103,0.127471019207
56104,0.208667481924
56105,0.144775547591
56106,0.124402839781
56107,0.113561286217
56108,0.159130048684
56109,0.113427372496
56110,0.113414788724
56111,0.134400454376
56112,0.113123646804
56113,0.113310536954
56114,0.11336535176
56115,0.115126959485
56116,0.113420507893
56117,0.127062477823
56118,0.118563862462
56119,0.113262231499
56120,0.113278108362
56121,0.113599954707
56122,0.11325547146
56123,0.113520434694
56124,0.126860296434
56125,0.113239194887
56126,0.113209199743
56127,0.126700400158
56128,0.11318437021
56129,0.115416549334
56130,0.145492779933
56131,0.113561624748
56132,0.113213678675
56133,0.113189505076
56134,0.113268221299
56135,0.153929816035
56136,0.113391905397
56137,0.113339553106
56138,0.113234193374
56139,0.113232349772
56140,0.113650359338
56141,0.115075071575
56142,0.113281139491
56143,0.115105002828
56144,0.113196269199
56145,0.120528256292
56146,0.153553775625
56147,0.131571183093
56148,0.113459914955
56149,0.145909015851
56150,0.113166027469
56151,0.113158210901
56152,0.114761781143
56153,0.115098048362
56154,0.113599957691
56155,0.113261529856
56156,0.113335896124
56157,0.113317416826
56158,0.113223416435
56159,0.113231953521
56160,0.113188512569
56161,0.113272633835
56162,0.113551722149
56163,0.205688720865
56164,0.115833594492
56165,0.123551417316
56166,0.113229619719
56167,0.113328815695
56168,0.113224714719
56169,0.113228412455
56170,0.114987326155
56171,0.113325753546
56172,0.113505452853
56173,0.113527035238
56174,0.113182785816
56175,0.20867705667
56176,0.113182114921
56177,0.113218349387
56178,0.113170594955
56179,0.205688720459
56180,0.115034055669
56181,0.113388927976
56182,0.139159890936
56183,0.205688724029
56184,0.11321847022
56185,0.11321673562
56186,0.113615481183
56187,0.113251540804
56188,0.113241472343
56189,0.113548290806
56190,0.113204546879
56191,0.113219929847
56192,0.113433644359
56193,0.113173006505
56194,0.113357435056
56195,0.113230690226
56196,0.153857731531
56197,0.113602438168
56198,0.113527695283
56199,0.118722687692
56200,0.113265799212
56201,0.113240572771
56202,0.113485718171
56203,0.11325904876
56204,0.113197386532
56205,0.113282131731
56206,0.208697679119
56207,0.129474448858
56208,0.113251661219
56209,0.11324817672
56210,0.113214058044
56211,0.113246633916
56212,0.11320609566
56213,0.113647907697
56214,0.113419858781
56215,0.113335195789
56216,0.113716884138
56217,0.113607062262
56218,0.118564603411
56219,0.115075842741
56220,0.113248244631
56221,0.113342555902
56222,0.164551965908
56223,0.11338945659
56224,0.113574507511
56225,0.142486248587
56226,0.113259368661
56227,0.113297533034
56228,0.113195749584
56229,0.113230679105
56230,0.113166540222
56231,0.153861752754
56232,0.113202702826
56233,0.113203713886
56234,0.113248372922
56235,0.113392171494
